"code","name"
"B","Balans"
"BIva","IMMATERIËLE VASTE ACTIVA"
"BIvaKou","Kosten van oprichting en van uitgifte van aandelen"
"BIvaKouVvp","Verkrijgings- of vervaardigingsprijs kosten van oprichting en van uitgifte van aandelen"
"BIvaKouVvpBeg","Beginbalans kosten van oprichting en van uitgifte van aandelen"
"BIvaKouVvpInv","Investeringen kosten van oprichting en van uitgifte van aandelen"
"BIvaKouVvpAdo","Aankopen door overnames kosten van oprichting en van uitgifte van aandelen"
"BIvaKouVvpDes","Desinvesteringen kosten van oprichting en van uitgifte van aandelen"
"BIvaKouVvpDda","Desinvesteringen door afstotingen kosten van oprichting en van uitgifte van aandelen"
"BIvaKouVvpOmv","Omrekeningsverschillen kosten van oprichting en van uitgifte van aandelen"
"BIvaKouVvpOvm","Overige mutaties kosten van oprichting en van uitgifte van aandelen"
"BIvaKouCae","Cumulatieve afschrijvingen en waardeverminderingen kosten van oprichting en van uitgifte van aandelen"
"BIvaKouCaeBeg","Beginbalans kosten van oprichting en van uitgifte van aandelen"
"BIvaKouCaeAfs","Afschrijvingen kosten van oprichting en van uitgifte van aandelen"
"BIvaKouCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen kosten van oprichting en van uitgifte van aandelen"
"BIvaKouCaeWvr","Waardeverminderingen kosten van oprichting en van uitgifte van aandelen"
"BIvaKouCaeTvw","Terugneming van waardeverminderingen kosten van oprichting en van uitgifte van aandelen"
"BIvaKouCuh","Cumulatieve herwaarderingen kosten van oprichting en van uitgifte van aandelen"
"BIvaKouCuhBeg","Beginbalans kosten van oprichting en van uitgifte van aandelen"
"BIvaKouCuhHer","Herwaarderingen kosten van oprichting en van uitgifte van aandelen"
"BIvaKouCuhAfh","Afschrijving herwaarderingen kosten van oprichting en van uitgifte van aandelen"
"BIvaKouCuhDeh","Desinvestering herwaarderingen kosten van oprichting en van uitgifte van aandelen"
"BIvaKoo","Kosten van onderzoek en ontwikkeling"
"BIvaKooVvp","Verkrijgings- of vervaardigingsprijs kosten van onderzoek en ontwikkeling"
"BIvaKooVvpBeg","Beginbalans kosten van onderzoek en ontwikkeling"
"BIvaKooVvpInv","Investeringen kosten van onderzoek en ontwikkeling"
"BIvaKooVvpAdo","Aankopen door overnames kosten van onderzoek en ontwikkeling"
"BIvaKooVvpDes","Desinvesteringen kosten van onderzoek en ontwikkeling"
"BIvaKooVvpDda","Desinvesteringen door afstotingen kosten van onderzoek en ontwikkeling"
"BIvaKooVvpOmv","Omrekeningsverschillen kosten van onderzoek en ontwikkeling"
"BIvaKooVvpOvm","Overige mutaties kosten van onderzoek en ontwikkeling"
"BIvaKooCae","Cumulatieve afschrijvingen en waardeverminderingen kosten van onderzoek en ontwikkeling"
"BIvaKooCaeBeg","Beginbalans kosten van onderzoek en ontwikkeling"
"BIvaKooCaeAfs","Afschrijvingen kosten van onderzoek en ontwikkeling"
"BIvaKooCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen kosten van onderzoek en ontwikkeling"
"BIvaKooCaeWvr","Waardeverminderingen kosten van onderzoek en ontwikkeling"
"BIvaKooCaeTvw","Terugneming van waardeverminderingen kosten van onderzoek en ontwikkeling"
"BIvaKooCuh","Cumulatieve herwaarderingen kosten van onderzoek en ontwikkeling"
"BIvaKooCuhBeg","Beginbalans kosten van onderzoek en ontwikkeling"
"BIvaKooCuhHer","Herwaarderingen kosten van onderzoek en ontwikkeling"
"BIvaKooCuhAfh","Afschrijving herwaarderingen kosten van onderzoek en ontwikkeling"
"BIvaKooCuhDeh","Desinvestering herwaarderingen kosten van onderzoek en ontwikkeling"
"BIvaSof","Software"
"BIvaSofVvp","Verkrijgings- of vervaardigingsprijs software"
"BIvaSofVvpBeg","Beginbalans software"
"BIvaSofVvpInv","Investeringen software"
"BIvaSofVvpAdo","Aankopen door overnames software"
"BIvaSofVvpDes","Desinvesteringen software"
"BIvaSofVvpDda","Desinvesteringen door afstotingen software"
"BIvaSofVvpOmv","Omrekeningsverschillen software"
"BIvaSofVvpOvm","Overige mutaties software"
"BIvaSofCae","Cumulatieve afschrijvingen en waardeverminderingen software"
"BIvaSofCaeBeg","Beginbalans software"
"BIvaSofCaeAfs","Afschrijvingen software"
"BIvaSofCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen software"
"BIvaSofCaeWvr","Waardeverminderingen software"
"BIvaSofCaeTvw","Terugneming van waardeverminderingen software"
"BIvaSofCuh","Cumulatieve herwaarderingen software"
"BIvaSofCuhBeg","Beginbalans software"
"BIvaSofCuhHer","Herwaarderingen software"
"BIvaSofCuhAfh","Afschrijving herwaarderingen software"
"BIvaSofCuhDeh","Desinvestering herwaarderingen software"
"BIvaOie","Overig intellectueel eigendom"
"BIvaOieVvp","Verkrijgings- of vervaardigingsprijs overig intellectueel eigendom"
"BIvaOieVvpBeg","Beginbalans overig intellectueel eigendom"
"BIvaOieVvpInv","Investeringen overig intellectueel eigendom"
"BIvaOieVvpAdo","Aankopen door overnames overig intellectueel eigendom"
